# Set empty fields to NA
Category,Fuel,Segment,Euro Standard,Concept,Pollutant,EF_ug_km
Passenger Cars,Diesel,Large-SUV-Executive,Euro 4,NA,NH3 lightweight,0.0010e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 5,NA,NH3 lightweight,0.0019e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 6 up to 2016,NA,NH3 lightweight,0.0019e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 6 2017-2019,NA,NH3 lightweight,0.0019e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 6 2020+,NA,NH3 lightweight,0.0019e6
# Passenger Cars, LPG Bifuel ~ LPG
Passenger Cars,LPG Bifuel ~ LPG,NA,Conventional,NA,NH3 lightweight,0.0020e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 1,NA,NH3 lightweight,0.0880e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 2,NA,NH3 lightweight,0.1007e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 3,NA,NH3 lightweight,0.0338e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 4,NA,NH3 lightweight,0.0338e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 5,NA,NH3 lightweight,0.0338e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 6 up to 2016,NA,NH3 lightweight,0.0338e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 6 2017-2019,NA,NH3 lightweight,0.0338e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 6 2020+,NA,NH3 lightweight,0.0338e6
# Passenger Cars, 2-Stroke
Passenger Cars,NA,2-Stroke,Conventional,NA,NH3 lightweight,0.0015e6
# Passenger Cars, Petrol Hybrid, Small
Passenger Cars,Petrol Hybrid,Small,Euro 4,NA,NH3 lightweight,0.0328e6
Passenger Cars,Petrol Hybrid,Small,Euro 5,NA,NH3 lightweight,0.0328e6
Passenger Cars,Petrol Hybrid,Small,Euro 6 up to 2016,NA,NH3 lightweight,0.0328e6
Passenger Cars,Petrol Hybrid,Small,Euro 6 2017-2019,NA,NH3 lightweight,0.0328e6
Passenger Cars,Petrol Hybrid,Small,Euro 6 2020+,NA,NH3 lightweight,0.0328e6
# Passenger Cars, Petrol Hybrid, Medium
Passenger Cars,Petrol Hybrid,Medium,Euro 4,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Medium,Euro 5,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Medium,Euro 6 up to 2016,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Medium,Euro 6 2017-2019,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Medium,Euro 6 2020+,NA,NH3 lightweight,0.0327e6
# Passenger Cars, Petrol Hybrid, Large-SUV-Executive
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 4,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 5,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 up to 2016,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2017-2019,NA,NH3 lightweight,0.0327e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2020+,NA,NH3 lightweight,0.0327e6
# Passenger Cars, E85
Passenger Cars,E85,NA,Euro 4,NA,NH3 lightweight,0.0339e6
Passenger Cars,E85,NA,Euro 5,NA,NH3 lightweight,0.0339e6
Passenger Cars,E85,NA,Euro 6 up to 2016,NA,NH3 lightweight,0.0339e6
Passenger Cars,E85,NA,Euro 6 2017-2019,NA,NH3 lightweight,0.0339e6
Passenger Cars,E85,NA,Euro 6 2020+,NA,NH3 lightweight,0.0339e6
# Passenger Cars, CNG Bifuel ~ CNG
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 4,NA,NH3 lightweight,0.0339e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 5,NA,NH3 lightweight,0.0339e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 6 up to 2016,NA,NH3 lightweight,0.0339e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 6 2017-2019,NA,NH3 lightweight,0.0339e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 6 2020+,NA,NH3 lightweight,0.0339e6
### N2O lightweight
# Passenger Cars, Petrol, Mini
Passenger Cars,Petrol,Mini,Euro 4,NA,N2O lightweight,0.002e6
Passenger Cars,Petrol,Mini,Euro 5,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Mini,Euro 6 2020+,NA,N2O lightweight,0.0013e6
# Passenger Cars, Petrol, Small
Passenger Cars,Petrol,Small,PRE ECE,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Small,ECE 15/00-01,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Small,ECE 15/02,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Small,ECE 15/03,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Small,ECE 15/04,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Small,Open Loop,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Small,Euro 1,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Small,Euro 2,NA,N2O lightweight,0.006e6
Passenger Cars,Petrol,Small,Euro 3,NA,N2O lightweight,0.002e6
Passenger Cars,Petrol,Small,Euro 4,NA,N2O lightweight,0.002e6
Passenger Cars,Petrol,Small,Euro 5,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Small,Euro 6 up to 2016,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Small,Euro 6 2017-2019,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Small,Euro 6 2020+,NA,N2O lightweight,0.0013e6
# Passenger Cars, Petrol, Medium
Passenger Cars,Petrol,Medium,PRE ECE,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Medium,ECE 15/00-01,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Medium,ECE 15/02,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Medium,ECE 15/03,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Medium,ECE 15/04,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Medium,Open Loop,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Medium,Euro 1,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Medium,Euro 2,NA,N2O lightweight,0.006e6
Passenger Cars,Petrol,Medium,Euro 3,NA,N2O lightweight,0.002e6
Passenger Cars,Petrol,Medium,Euro 4,NA,N2O lightweight,0.002e6
Passenger Cars,Petrol,Medium,Euro 5,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Medium,Euro 6 up to 2016,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Medium,Euro 6 2017-2019,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Medium,Euro 6 2020+,NA,N2O lightweight,0.0013e6
# Passenger Cars, Petrol, Large-SUV-Executive
Passenger Cars,Petrol,Large-SUV-Executive,PRE ECE,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Large-SUV-Executive,ECE 15/00-01,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Large-SUV-Executive,ECE 15/02,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Large-SUV-Executive,ECE 15/03,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Large-SUV-Executive,ECE 15/04,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Large-SUV-Executive,Open Loop,NA,N2O lightweight,0.01e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 1,NA,N2O lightweight,0.011e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 2,NA,N2O lightweight,0.006e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 3,NA,N2O lightweight,0.002e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 4,NA,N2O lightweight,0.002e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 5,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 6 up to 2016,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 6 2017-2019,NA,N2O lightweight,0.0013e6
Passenger Cars,Petrol,Large-SUV-Executive,Euro 6 2020+,NA,N2O lightweight,0.0013e6
# Passenger Cars, Diesel, Small
Passenger Cars,Diesel,Small,Euro 4,NA,N2O lightweight,0.010e6
Passenger Cars,Diesel,Small,Euro 5,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Small,Euro 6 up to 2016,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Small,Euro 6 2017-2019,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Small,Euro 6 2020+,NA,N2O lightweight,0.004e6
# Passenger Cars, Diesel, Medium
Passenger Cars,Diesel,Medium,Conventional,NA,N2O lightweight,0.00e6
Passenger Cars,Diesel,Medium,Euro 1,NA,N2O lightweight,0.003e6
Passenger Cars,Diesel,Medium,Euro 2,NA,N2O lightweight,0.005e6
Passenger Cars,Diesel,Medium,Euro 3,NA,N2O lightweight,0.007e6
Passenger Cars,Diesel,Medium,Euro 4,NA,N2O lightweight,0.01e6
Passenger Cars,Diesel,Medium,Euro 5,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Medium,Euro 6 up to 2016,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Medium,Euro 6 2017-2019,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Medium,Euro 6 2020+,NA,N2O lightweight,0.004e6
# Passenger Cars, Diesel, Large-SUV-Executive
Passenger Cars,Diesel,Large-SUV-Executive,Conventional,NA,N2O lightweight,0.00e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 1,NA,N2O lightweight,0.003e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 2,NA,N2O lightweight,0.005e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 3,NA,N2O lightweight,0.01e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 4,NA,N2O lightweight,0.01e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 5,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 6 up to 2016,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 6 2017-2019,NA,N2O lightweight,0.004e6
Passenger Cars,Diesel,Large-SUV-Executive,Euro 6 2020+,NA,N2O lightweight,0.004e6
# Passenger Cars, LPG Bifuel ~ LPG
Passenger Cars,LPG Bifuel ~ LPG,NA,Conventional,NA,N2O lightweight,0.00e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 1,NA,N2O lightweight,0.02e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 2,NA,N2O lightweight,0.008e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 3,NA,N2O lightweight,0.004e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 4,NA,N2O lightweight,0.004e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 5,NA,N2O lightweight,0.004e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 6 up to 2016,NA,N2O lightweight,0.004e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 6 2017-2019,NA,N2O lightweight,0.004e6
Passenger Cars,LPG Bifuel ~ LPG,NA,Euro 6 2020+,NA,N2O lightweight,0.004e6
# Passenger Cars, 2-Stroke
Passenger Cars,NA,2-Stroke,Conventional,NA,N2O lightweight,0.005e6
# Passenger Cars, Petrol Hybrid, Small
Passenger Cars,Petrol Hybrid,Small,Euro 4,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Small,Euro 5,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Small,Euro 6 up to 2016,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Small,Euro 6 2017-2019,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Small,Euro 6 2020+,NA,N2O lightweight,0.0002e6
# Passenger Cars, Petrol Hybrid, Medium
Passenger Cars,Petrol Hybrid,Medium,Euro 4,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Medium,Euro 5,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Medium,Euro 6 up to 2016,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Medium,Euro 6 2017-2019,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Medium,Euro 6 2020+,NA,N2O lightweight,0.0002e6
# Passenger Cars, Petrol Hybrid, Large-SUV-Executive
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 4,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 5,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 up to 2016,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2017-2019,NA,N2O lightweight,0.0002e6
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2020+,NA,N2O lightweight,0.0002e6
# Passenger Cars, E85
Passenger Cars,E85,NA,Euro 4,NA,N2O lightweight,0.002e6
Passenger Cars,E85,NA,Euro 5,NA,N2O lightweight,0.002e6
Passenger Cars,E85,NA,Euro 6 up to 2016,NA,N2O lightweight,0.002e6
Passenger Cars,E85,NA,Euro 6 2017-2019,NA,N2O lightweight,0.002e6
Passenger Cars,E85,NA,Euro 6 2020+,NA,N2O lightweight,0.002e6
# Passenger Cars, CNG Bifuel ~ CNG
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 4,NA,N2O lightweight,0.001e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 5,NA,N2O lightweight,0.001e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 6 up to 2016,NA,N2O lightweight,0.001e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 6 2017-2019,NA,N2O lightweight,0.001e6
Passenger Cars,CNG Bifuel ~ CNG,NA,Euro 6 2020+,NA,N2O lightweight,0.001e6
### benzo(a)pyrene
# Petrol, E85, CNG passenger cars
Passenger Cars,Petrol,NA,Conventional,NA,benzo(a)pyrene,0.48
Passenger Cars,Petrol,NA,Euro 1,NA,benzo(a)pyrene,0.32
Passenger Cars,Petrol,NA,Euro 2,NA,benzo(a)pyrene,0.32
Passenger Cars,Petrol,NA,Euro 3,NA,benzo(a)pyrene,0.32
Passenger Cars,Petrol,NA,Euro 4,NA,benzo(a)pyrene,0.32
Passenger Cars,Petrol,NA,Euro 5,NA,benzo(a)pyrene,0.32
Passenger Cars,Petrol,NA,Euro 6 up to 2016,NA,benzo(a)pyrene,0.32
